,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0010947227478027345,0.00021636659316743215,0.0002040863037109375,0.000408172607421875,0.1,0.1,linear,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'linear'}",0.8695652173913043,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9284584980237154,0.04476011910479707,10
1,0.0008085250854492187,0.0004043616045027338,0.00039973258972167967,0.0004895704449951435,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7391304347826086,0.8260869565217391,0.9545454545454546,0.8636363636363636,0.7727272727272727,0.8312252964426877,0.0750842507201956,17
2,0.0009251594543457031,0.0005161759616595654,0.00039091110229492185,0.0004789717009782908,0.1,0.1,sigmoid,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.34782608695652173,0.2608695652173913,0.4090909090909091,0.13636363636363635,0.3181818181818182,0.2944664031620553,0.09238364196418557,25
3,0.00010766983032226563,0.00021533966064453126,0.0003998279571533203,0.0004896872921989839,0.1,1,linear,"{'C': 0.1, 'gamma': 1, 'kernel': 'linear'}",0.8695652173913043,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9284584980237154,0.04476011910479707,10
4,0.0006072521209716797,0.0004958746053364904,0.0004008293151855469,0.0004909140186082003,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.8260869565217391,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9197628458498024,0.05770750988142293,13
5,0.0008984565734863281,0.0004960953066042425,0.00021238327026367186,0.00039461671331536715,0.1,1,sigmoid,"{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
6,0.00019974708557128905,0.0003994941711425781,0.0008004188537597656,0.00040020972515155534,0.1,10,linear,"{'C': 0.1, 'gamma': 10, 'kernel': 'linear'}",0.8695652173913043,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9284584980237154,0.04476011910479707,10
7,0.0008016586303710938,0.000401053801441855,0.0007171154022216797,0.00040258250062474984,0.1,10,rbf,"{'C': 0.1, 'gamma': 10, 'kernel': 'rbf'}",0.6956521739130435,0.2608695652173913,0.4090909090909091,0.45454545454545453,0.3181818181818182,0.42766798418972335,0.15012792224792484,18
8,0.0007268428802490234,0.000633787326294221,0.0003939628601074219,0.00048260049209826927,0.1,10,sigmoid,"{'C': 0.1, 'gamma': 10, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
9,0.0006019115447998047,0.0004914717032388603,0.000796651840209961,0.0007391472092250068,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
10,0.0005997180938720703,0.0004896678737746218,0.00040001869201660155,0.000489920893719676,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9130434782608695,1.0,0.9545454545454546,0.9090909090909091,0.9090909090909091,0.9371541501976285,0.035800764819681447,9
11,0.00110321044921875,0.0002024251186025925,0.0006020545959472656,0.0004915904435421883,1,0.1,sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.34782608695652173,0.2608695652173913,0.4090909090909091,0.13636363636363635,0.3181818181818182,0.2944664031620553,0.09238364196418557,25
12,0.00041599273681640624,0.00048137580000284785,0.0002002716064453125,0.000400543212890625,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
13,0.0007017135620117187,0.00039939740325551043,0.00019993782043457032,0.0003998756408691407,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.8695652173913043,1.0,0.9545454545454546,0.9545454545454546,0.9090909090909091,0.9375494071146244,0.04451863423417024,8
14,0.0008016586303710938,0.0004008421633755761,0.00019989013671875,0.0003997802734375,1,1,sigmoid,"{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
15,0.0005040645599365234,0.0006539991270890429,0.0004023075103759766,0.0004927311261491253,1,10,linear,"{'C': 1, 'gamma': 10, 'kernel': 'linear'}",0.9130434782608695,1.0,0.9545454545454546,1.0,0.9545454545454546,0.9644268774703558,0.032761052624667365,1
16,0.0011022567749023437,0.00020244589763012004,0.000201416015625,0.00040283203125,1,10,rbf,"{'C': 1, 'gamma': 10, 'kernel': 'rbf'}",0.9130434782608695,0.9565217391304348,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8920948616600791,0.037468187592582025,15
17,0.0008004188537597656,0.00040020955471062683,0.00019969940185546876,0.0003993988037109375,1,10,sigmoid,"{'C': 1, 'gamma': 10, 'kernel': 'sigmoid'}",0.4782608695652174,0.2608695652173913,0.4090909090909091,0.36363636363636365,0.3181818181818182,0.3660079051383399,0.07457064110787869,19
